Date,Count,Total
2016-03-15,0,0
2016-03-16,2,2
2016-03-17,1,3
2016-03-18,2,5
2016-03-19,1,6
2016-03-20,1,7
2016-03-21,1,8
2016-03-22,1,9
2016-03-23,1,10
2016-03-24,1,11
2016-03-25,1,12
2016-03-26,1,13
2016-03-27,1,14
2016-03-28,1,15
2016-03-29,3,18
2016-04-01,1,19
2016-04-02,0,19
2016-04-03,1,20
2016-04-04,2,22
2016-04-05,1,23
2016-04-06,1,24
2016-04-07,2,26
2016-04-08,1,27
2016-04-09,1,28
2016-04-10,1,29
2016-04-11,1,30
2016-04-12,1,31
2016-04-13,1,32
2016-04-16,0,32
2016-04-17,1,33
2016-04-18,2,35
2016-04-19,2,37
2016-04-20,1,38
2016-04-21,2,40
2016-04-22,1,41
2016-04-23,2,43
2016-04-24,1,44
2016-04-23,2,46
2016-04-24,1,47
2016-04-25,2,49
2016-04-26,2,51
2016-04-27,1,52
2016-04-28,2,54
2016-04-29,0,54
2016-04-30,1,55
2016-05-01,1,56
2016-05-02,2,58
2016-05-03,2,60
2016-05-04,2,62
2016-05-05,2,64
2016-05-06,1,65
2016-05-07,1,66
2016-05-08,1,67
2016-05-09,2,69
2016-05-10,1,70
2016-05-11,1,71
2016-05-14,0,71
2016-05-15,1,72
2016-05-16,2,74
2016-05-18,1,75
2016-05-19,2,77
2016-05-21,0,77
2016-05-22,1,78
2016-05-23,0,78
2016-05-24,1,79
2016-05-25,2,81
2016-05-26,2,83
2016-05-27,1,84
2016-05-28,0,84
2016-05-29,1,85
2016-05-30,1,86
2016-05-31,1,87
2016-06-01,2,89
2016-06-02,1,90
2016-06-03,0,90
2016-06-04,0,90
2016-06-05,0,90
2016-06-06,1,91
2016-06-07,2,93
2016-06-08,1,94
2016-06-09,1,95
2016-06-10,1,96
2016-06-11,0,96
2016-06-12,0,96
2016-06-13,2,98
2016-06-14,1,99
2016-06-15,1,100
2016-06-16,1,101
2016-06-17,1,102
2016-06-18,1,103
2016-06-20,0,103
2016-06-20,1,104
2016-06-21,0,104
2016-06-22,1,105
2016-06-23,1,106
2016-06-24,1,107
2016-06-25,1,108
2016-06-26,0,108
2016-06-27,1,109
2016-06-28,1,110
2016-06-29,1,111
2016-06-30,1,112
2016-07-01,0,112
2016-07-02,1,113
2016-07-03,0,113
2016-07-04,1,114
2016-07-05,1,115
2016-07-06,1,116
2016-07-07,1,117
2016-07-08,1,118
2016-07-09,0,118
2016-07-10,1,119
2016-07-11,1,120
2016-07-12,1,121
2016-07-13,1,122
2016-07-14,1,123
2016-07-15,1,124
2016-07-16,1,125
2016-07-17,0,125
2016-07-18,1,126
2016-07-19,1,127
2016-07-20,1,128
2016-07-21,1,129
2016-07-22,0,129
2016-07-23,0,129
2016-07-24,1,130
2016-07-25,2,132
2016-07-26,1,133
2016-07-27,1,134
2016-07-28,1,135
2016-07-29,0,135
2016-07-30,1,136
2016-07-31,1,137
2016-08-01,0,137
2016-08-02,1,138
2016-08-03,1,139
2016-08-04,2,141
2016-08-05,1,142
2016-08-06,0,142
2016-08-07,0,142
2016-08-08,1,143
2016-08-09,1,144
2016-08-10,1,145
2016-08-11,1,146
2016-08-12,1,147
2016-08-13,1,148
2016-08-14,0,148
2016-08-15,2,150
2016-08-16,1,151
2016-08-17,1,152
2016-08-18,2,154
2016-08-19,1,155
2016-08-20,0,155
