Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2016-01-22 02:21:10;2016-01-22 08:55:31;77%;6:34;;;;0
2016-01-23 04:06:42;2016-01-23 10:48:39;61%;6:41;;;;5201
2016-01-24 03:23:34;2016-01-24 11:33:55;87%;8:10;;;;2745
2016-01-25 03:19:42;2016-01-25 09:04:23;68%;5:44;;;;2925
2016-01-26 04:00:36;2016-01-26 09:04:39;58%;5:04;;;;6395
2016-01-27 03:06:22;2016-01-27 08:53:32;70%;5:47;;Drank;;8773
2016-01-28 03:00:45;2016-01-28 08:49:08;53%;5:48;;Ate late;;3914
2016-01-29 03:22:22;2016-01-29 09:00:20;64%;5:37;:|;;;4267
2016-01-30 03:21:52;2016-01-30 09:16:22;46%;5:54;:(;Drank;;8037
2016-01-31 02:30:39;2016-01-31 12:12:29;86%;9:41;:|;Ate late:Drank;;5682
2016-02-01 03:11:12;2016-02-01 09:02:25;61%;5:51;:|;Drank;;5218
2016-02-02 02:59:23;2016-02-02 09:01:37;63%;6:02;:|;Drank;;8774
2016-02-03 02:48:22;2016-02-03 09:03:41;48%;6:15;:|;Drank;;3386
2016-02-04 02:19:05;2016-02-04 08:48:25;73%;6:29;:|;Worked out;;11068
2016-02-05 01:59:25;2016-02-05 09:00:55;77%;7:01;:|;Drank;;5458
2016-02-06 03:38:24;2016-02-06 11:05:18;76%;7:26;:|;Worked out;;11239
2016-02-07 03:42:12;2016-02-07 09:37:23;63%;5:55;:|;Drank;;6180
2016-02-08 02:34:48;2016-02-08 09:32:40;78%;6:57;:|;;;3117
2016-02-09 03:04:18;2016-02-09 08:59:11;54%;5:54;:|;;;6842
2016-02-10 02:29:40;2016-02-10 09:01:36;57%;6:31;:|;;;6392
2016-02-11 02:55:13;2016-02-11 08:08:29;66%;5:13;:|;;;6661
2016-02-12 01:37:17;2016-02-12 08:50:35;69%;7:13;:|;Drank;;9987
2016-02-13 04:07:09;2016-02-13 10:18:53;62%;6:11;:|;Drank;;7415
2016-02-14 03:10:37;2016-02-14 11:29:40;74%;8:19;:|;Drank;;3028
2016-02-15 03:26:24;2016-02-15 08:43:23;62%;5:16;:|;Drank;;5946
2016-02-16 02:30:17;2016-02-16 09:27:11;80%;6:56;:|;Drank;;8188
2016-02-17 03:40:02;2016-02-17 09:02:06;54%;5:22;:|;;;8956
2016-02-18 02:36:58;2016-02-18 09:02:19;76%;6:25;:|;;;4862
2016-02-19 03:32:41;2016-02-19 10:05:51;68%;6:33;:|;Drank;;6115
2016-02-20 01:45:28;2016-02-20 12:29:21;86%;10:43;:);Drank;;5615
2016-02-21 02:37:26;2016-02-21 11:53:18;100%;9:15;:(;Drank;;12307
2016-02-21 14:26:45;2016-02-21 15:51:19;18%;1:24;:|;;;2044
2016-02-22 01:25:21;2016-02-22 08:51:27;71%;7:26;:|;;;2451
2016-02-23 03:21:16;2016-02-23 09:02:06;55%;5:40;:|;;;6796
2016-02-24 03:07:06;2016-02-24 09:37:18;69%;6:30;:|;;;4782
2016-02-25 03:19:04;2016-02-25 09:15:32;69%;5:56;:|;Drank;;5452
2016-02-26 01:45:02;2016-02-26 09:15:35;89%;7:30;:|;;;4811
