Date,Count,Total,
2017-01-01,1,1,Sunday
2017-01-02,1,2,Monday
2017-01-03,1,3,Tuesday
2017-01-04,1,4,Wednesday
2017-01-05,1,5,Thursday
2017-01-06,1,6,Friday
2017-01-07,1,7,Saturday
2017-01-08,0,7,Sunday
2017-01-09,2,9,Monday
2017-01-10,1,10,Tuesday
2017-01-11,1,11,Wednesday
2017-01-12,1,12,Thursday
2017-01-13,1,13,Friday
2017-01-14,1,14,Saturday
2017-01-15,1,15,Sunday
2017-01-16,1,16,Monday
2017-01-17,1,17,Tuesday
2017-01-18,1,18,Wednesday
2017-01-19,1,19,Thursday
2017-01-20,1,20,Friday
2017-01-21,1,21,Saturday
2017-01-22,0,21,Sunday
2017-01-23,1,22,Monday
2017-01-24,1,23,Tuesday
2017-01-25,1,24,Wednesday
2017-01-26,1,25,Thursday
2017-01-27,1,26,Friday
2017-01-28,0,26,Saturday
2017-01-29,1,27,Sunday
2017-01-30,1,28,Monday
2017-01-31,1,29,Tuesday
2017-02-01,1,30,Wednesday
2017-02-02,1,31,Thursday
2017-02-03,1,32,Friday
2017-02-04,1,33,Saturday
2017-02-05,0,33,Sunday
2017-02-06,1,34,Monday
2017-02-07,2,36,Tuesday
2017-02-08,1,37,Wednesday
2017-02-09,1,38,Thursday
2017-02-10,1,39,Friday
2017-02-11,1,40,Saturday
2017-02-12,1,41,Sunday
2017-02-13,1,42,Monday
2017-02-14,2,44,Tuesday
2017-02-15,2,46,Wednesday
2017-02-16,1,47,Thursday
2017-02-17,1,48,Friday
2017-02-18,1,49,Saturday
2017-02-19,1,50,Sunday
2017-02-20,2,52,Monday
2017-02-21,1,53,Tuesday
2017-02-22,1,54,Wednesday
2017-02-23,1,55,Thursday
2017-02-24,1,56,Friday
2017-02-25,1,57,Saturday
2017-02-26,1,58,Sunday
2017-02-27,1,59,Monday
2017-02-28,1,60,Tuesday
2017-03-01,2,62,Wednesday
2017-03-02,2,64,Thursday
2017-03-03,1,65,Friday
2017-03-04,2,67,Saturday
2017-03-05,0,67,Sunday
2017-03-06,1,68,Monday
2017-03-07,1,69,Tuesday
2017-03-08,1,70,Wednesday
2017-03-09,1,71,Thursday
2017-03-10,1,72,Friday
2017-03-11,0,72,Saturday
2017-03-12,1,73,Sunday
2017-03-13,1,74,Monday
2017-03-14,1,75,Tuesday
2017-03-15,2,77,Wednesday
2017-03-16,1,78,Thursday
2017-03-17,1,79,Friday
2017-03-18,1,80,Saturday
2017-03-19,0,80,Sunday
2017-03-20,1,81,Monday
2017-03-21,1,82,Tuesday
2017-03-22,2,84,Wednesday
2017-03-23,1,85,Thursday
2017-03-24,1,86,Friday
2017-03-25,1,87,Saturday
2017-03-26,1,88,Sunday
2017-03-27,1,89,Monday
2017-03-28,2,91,Tuesday
2017-03-29,1,92,Wednesday
2017-03-30,1,93,Thursday
2017-03-31,1,94,Friday
2017-04-01,0,94,Saturday
2017-04-02,0,94,Sunday
2017-04-03,1,95,Monday
2017-04-04,1,96,Tuesday
2017-04-05,1,97,Wednesday
2017-04-06,1,98,Thursday
2017-04-07,1,99,Friday
2017-04-08,0,99,Saturday
2017-04-09,0,99,Sunday
2017-04-10,2,101,Monday
2017-04-11,1,102,Tuesday
2017-04-12,1,103,Wednesday
2017-04-13,1,104,Thursday
2017-04-14,1,105,Friday
2017-04-15,0,105,Saturday
2017-04-16,1,106,Sunday
2017-04-17,0,106,Monday
2017-04-18,1,107,Tuesday
2017-04-19,1,108,Wednesday
2017-04-20,1,109,Thursday
2017-04-21,1,110,Friday
2017-04-22,2,112,Saturday
2017-04-23,0,112,Sunday
2017-04-24,1,113,Monday
2017-04-25,1,114,Tuesday
2017-04-26,1,115,Wednesday
2017-04-27,1,116,Thursday
2017-04-28,1,117,Friday
2017-04-29,1,118,Saturday
2017-04-30,0,118,Sunday
2017-05-01,1,119,Monday
2017-05-02,2,121,Tuesday
2017-05-03,1,122,Wednesday
2017-05-04,1,123,Thursday
2017-05-05,2,125,Friday
2017-05-06,1,126,Saturday
2017-05-07,0,126,Sunday
2017-05-08,1,127,Monday
2017-05-09,1,128,Tuesday
2017-05-10,1,129,Wednesday
2017-05-11,1,130,Thursday
2017-05-12,1,131,Friday
2017-05-13,1,132,Saturday
2017-05-14,1,133,Sunday
2017-05-15,0,133,Monday
2017-05-16,1,134,Tuesday
2017-05-17,1,135,Wednesday
2017-05-18,1,136,Thursday
2017-05-19,1,137,Friday
2017-05-20,1,138,Saturday
2017-05-21,1,139,Sunday
2017-05-22,1,140,Monday
2017-05-23,1,141,Tuesday
2017-05-24,1,142,Wednesday
2017-05-25,1,143,Thursday
2017-05-26,0,143,Friday
2017-05-27,1,144,Saturday
2017-05-28,1,145,Sunday
2017-05-29,1,146,Monday
2017-05-30,1,147,Tuesday
2017-05-31,1,148,Wednesday
2017-06-01,1,149,Thursday
2017-06-02,1,150,Friday
2017-06-03,0,150,Saturday
2017-06-04,1,151,Sunday
2017-06-05,1,152,Monday
2017-06-06,1,153,Tuesday
2017-06-07,1,154,Wednesday
2017-06-08,1,155,Thursday
2017-06-09,1,156,Friday
